Time, Temp (C), Humidity (%)
2022-01-28 23:09:10.684744, 18.1, 64.0
2022-01-28 23:09:15.771656, 18.1, 64.0
2022-01-28 23:09:20.857639, 18.1, 64.0
2022-01-28 23:09:25.943603, 18.1, 64.0
2022-01-28 23:09:31.029254, 18.1, 64.0
2022-01-28 23:09:36.112948, 18.1, 64.0
2022-01-28 23:09:46.281201, 18.1, 64.0
2022-01-28 23:09:51.362780, 18.1, 64.0
2022-01-28 23:10:01.531290, 18.1, 64.0
2022-01-28 23:10:06.617613, 18.1, 64.0
2022-01-28 23:10:11.703695, 18.1, 64.0
2022-01-28 23:10:16.786392, 18.1, 64.0
2022-01-28 23:10:21.872327, 18.1, 64.0
2022-01-28 23:10:26.958637, 18.1, 64.0
2022-01-28 23:10:32.042727, 18.1, 64.0
2022-01-28 23:10:37.128302, 18.1, 64.0
2022-01-28 23:10:42.213845, 18.1, 64.0
2022-01-28 23:10:52.381305, 18.1, 64.0
2022-01-28 23:10:57.467358, 18.1, 64.0
2022-01-28 23:11:02.553294, 18.1, 64.0
2022-01-28 23:11:12.721354, 18.1, 64.0
2022-01-28 23:11:17.806277, 18.1, 64.0
2022-01-28 23:11:27.975054, 18.1, 64.0
2022-01-28 23:11:33.060747, 18.1, 64.0
2022-01-28 23:11:38.146129, 18.1, 64.0
2022-01-28 23:11:43.231212, 18.1, 64.0
2022-01-28 23:11:48.314458, 18.1, 64.0
2022-01-28 23:11:53.400287, 18.1, 64.0
2022-01-28 23:11:58.485568, 18.2, 64.0
2022-01-28 23:12:08.653427, 18.2, 64.0
2022-01-28 23:12:13.735099, 18.2, 64.0
2022-01-28 23:12:18.821250, 18.2, 64.0
2022-01-28 23:12:23.907301, 18.1, 64.0
2022-01-28 23:12:34.072692, 18.2, 64.0
2022-01-28 23:12:39.159302, 18.2, 63.0
2022-01-28 23:12:44.245734, 18.1, 63.0
2022-01-28 23:12:54.414848, 18.2, 63.0
2022-01-28 23:12:59.501394, 18.2, 63.0
2022-01-28 23:13:04.587804, 18.2, 63.0
2022-01-28 23:13:14.754918, 18.1, 63.0
2022-01-28 23:13:19.841296, 18.2, 63.0
2022-01-28 23:13:30.006499, 18.2, 63.0
2022-01-28 23:13:40.175436, 18.1, 63.0
2022-01-28 23:13:45.260846, 18.1, 63.0
2022-01-28 23:13:50.347242, 18.1, 63.0
2022-01-28 23:14:00.519882, 18.1, 63.0
2022-01-28 23:14:05.604239, 18.1, 63.0
2022-01-28 23:14:10.691122, 18.1, 63.0
2022-01-28 23:14:15.774480, 18.1, 63.0
2022-01-28 23:14:20.860830, 18.1, 63.0
2022-01-28 23:14:25.943103, 18.1, 63.0
2022-01-28 23:14:31.029536, 18.1, 63.0
2022-01-28 23:14:36.113139, 18.1, 63.0
2022-01-28 23:14:51.365180, 18.1, 63.0
2022-01-28 23:14:56.452117, 18.1, 63.0
